Receptor,Ligand,Scoring,Pose,ΔG (kcal/mol),RMSD lb,RMSD ub
6K28_prepared,TZE,rigid/vina,1,-4.181,0.000,0.000
6K28_prepared,TZE,rigid/vina,2,-4.087,7.512,8.241
6K28_prepared,TZE,rigid/vina,3,-4.048,3.147,4.026
6K28_prepared,TZE,rigid/vina,4,-4.036,7.015,7.944
6K28_prepared,TZE,rigid/vina,5,-4.028,1.576,2.517
6K28_prepared,TZE,rigid/vina,6,-4.018,6.583,7.568
6K28_prepared,TZE,rigid/vina,7,-3.861,7.027,7.625
6K28_prepared,TZE,rigid/vina,8,-3.856,7.789,8.575
6K28_prepared,TZE,rigid/vina,9,-3.678,6.809,7.581
